temperature,humidity,Time,Temperature,Humidity,HeatIndex
,,2026-02-23 21:42:14.370085,22.2,71.0,22.33
,,2026-02-23 21:42:16.431001,22.2,71.0,22.33
,,2026-02-23 21:42:18.516935,22.2,71.0,22.33
,,2026-02-23 21:42:20.590629,22.2,71.0,22.33
,,2026-02-23 21:42:22.660736,22.2,71.0,22.33
,,2026-02-23 21:42:24.725950,22.2,71.0,22.33
,,2026-02-23 21:42:26.798189,22.2,71.0,22.33
,,2026-02-23 21:42:28.871253,22.2,71.0,22.33
,,2026-02-23 21:42:30.934533,22.2,70.0,22.3
,,2026-02-23 21:42:33.002194,22.2,70.0,22.3
,,2026-02-23 21:42:34.085141,22.2,70.0,22.3
,,2026-02-23 21:42:36.154616,22.2,70.0,22.3
,,2026-02-23 21:42:38.221273,22.2,70.0,22.3
,,2026-02-23 21:42:40.287326,22.2,70.0,22.3
,,2026-02-23 21:42:42.361463,22.2,70.0,22.3
,,2026-02-23 21:42:44.430182,22.2,70.0,22.3
,,2026-02-23 21:42:46.492586,22.2,70.0,22.3
,,2026-02-23 21:42:48.557760,22.2,70.0,22.3
,,2026-02-23 21:42:50.642598,22.2,70.0,22.3
,,2026-02-23 21:42:52.711488,22.2,70.0,22.3
,,2026-02-23 21:42:54.776835,22.2,70.0,22.3
,,2026-02-23 21:42:56.852811,22.2,70.0,22.3
,,2026-02-23 21:42:58.918934,22.2,70.0,22.3
,,2026-02-23 21:43:00.996254,22.3,70.0,22.41
,,2026-02-23 21:43:03.069181,22.3,70.0,22.41
,,2026-02-23 21:43:05.138355,22.3,70.0,22.41
,,2026-02-23 21:43:07.218677,22.3,70.0,22.41
,,2026-02-23 21:43:09.290901,22.3,70.0,22.41
,,2026-02-23 21:43:11.358813,22.3,70.0,22.41
,,2026-02-23 21:43:13.431477,22.2,70.0,22.3
,,2026-02-23 21:43:15.502983,22.3,70.0,22.41
,,2026-02-23 21:43:17.563395,22.3,70.0,22.41
,,2026-02-23 21:43:19.632054,22.3,70.0,22.41
,,2026-02-23 21:43:21.700482,22.3,70.0,22.41
,,2026-02-23 21:43:23.766830,22.3,70.0,22.41
,,2026-02-23 21:43:25.840614,22.3,70.0,22.41
,,2026-02-23 21:43:27.913812,22.3,70.0,22.41
,,2026-02-23 21:43:29.983697,22.3,70.0,22.41
,,2026-02-23 21:43:32.041780,22.3,70.0,22.41
,,2026-02-23 21:43:34.111648,22.3,70.0,22.41
,,2026-02-23 21:43:36.180038,22.3,70.0,22.41
,,2026-02-23 21:43:38.246171,22.3,70.0,22.41
,,2026-02-23 21:43:39.312998,22.3,70.0,22.41
,,2026-02-23 21:43:41.380468,22.3,70.0,22.41
,,2026-02-23 21:43:43.449690,22.4,70.0,22.52
,,2026-02-23 21:43:45.515717,22.4,70.0,22.52
,,2026-02-23 21:43:47.573274,22.4,70.0,22.52
,,2026-02-23 21:43:49.655081,22.4,70.0,22.52
,,2026-02-23 21:43:51.722778,22.4,70.0,22.52
,,2026-02-23 21:43:53.791889,22.4,70.0,22.52
,,2026-02-23 21:43:55.866439,22.4,70.0,22.52
,,2026-02-23 21:43:57.934950,22.4,70.0,22.52
,,2026-02-23 21:44:00.013158,22.4,70.0,22.52
,,2026-02-23 21:44:02.075585,22.4,70.0,22.52
,,2026-02-23 21:44:04.140817,22.4,70.0,22.52
,,2026-02-23 21:44:06.209768,22.4,70.0,22.52
,,2026-02-23 21:44:08.278265,22.4,70.0,22.52
,,2026-02-23 21:44:10.350761,22.4,70.0,22.52
,,2026-02-23 21:44:12.422492,22.4,70.0,22.52
,,2026-02-23 21:44:14.498393,22.4,69.0,22.5
,,2026-02-23 21:44:16.562145,22.4,69.0,22.5
,,2026-02-23 21:44:18.632681,22.5,69.0,22.61
,,2026-02-23 21:44:20.705785,22.5,69.0,22.61
,,2026-02-23 21:44:22.773685,22.5,69.0,22.61
,,2026-02-23 21:44:24.849365,22.5,69.0,22.61
,,2026-02-23 21:44:26.921108,22.5,69.0,22.61
,,2026-02-23 21:44:28.988970,22.5,69.0,22.61
,,2026-02-23 21:44:31.073666,22.5,69.0,22.61
,,2026-02-23 21:44:33.145769,22.5,69.0,22.61
,,2026-02-23 21:44:35.214993,22.5,69.0,22.61
,,2026-02-23 21:44:37.282525,22.5,69.0,22.61
,,2026-02-23 21:44:39.354647,22.5,69.0,22.61
,,2026-02-23 21:44:40.511955,22.5,69.0,22.61
,,2026-02-23 21:44:42.580784,22.5,68.0,22.58
,,2026-02-23 21:44:44.648538,22.5,68.0,22.58
,,2026-02-23 21:44:46.704525,22.5,68.0,22.58
,,2026-02-23 21:44:48.768893,22.5,68.0,22.58
,,2026-02-23 21:44:50.858902,22.5,68.0,22.58
,,2026-02-23 21:44:52.927042,22.5,68.0,22.58
,,2026-02-23 21:44:54.994696,22.5,68.0,22.58
,,2026-02-23 21:44:57.067574,22.5,68.0,22.58
,,2026-02-23 21:44:59.141208,22.5,68.0,22.58
,,2026-02-23 21:45:01.295790,22.5,68.0,22.58
,,2026-02-23 21:45:03.367263,22.5,68.0,22.58
,,2026-02-23 21:45:05.433235,22.5,68.0,22.58
,,2026-02-23 21:45:07.499823,22.5,68.0,22.58
,,2026-02-23 21:45:09.594936,22.5,68.0,22.58
,,2026-02-23 21:45:11.664842,22.5,68.0,22.58
,,2026-02-23 21:45:13.732086,22.5,68.0,22.58
,,2026-02-23 21:45:15.798326,22.5,68.0,22.58
,,2026-02-23 21:45:17.859901,22.5,68.0,22.58
,,2026-02-23 21:45:19.929324,22.5,68.0,22.58
,,2026-02-23 21:45:22.002209,22.5,68.0,22.58
,,2026-02-23 21:45:24.072893,22.6,68.0,22.69
,,2026-02-23 21:45:26.144180,22.6,68.0,22.69
,,2026-02-23 21:45:28.215674,22.6,68.0,22.69
,,2026-02-23 21:45:30.289339,22.6,68.0,22.69
,,2026-02-23 21:45:32.354370,22.6,68.0,22.69
,,2026-02-23 21:45:34.429797,22.6,68.0,22.69
,,2026-02-23 21:45:35.496413,22.6,68.0,22.69
,,2026-02-23 21:45:37.570812,22.6,68.0,22.69
,,2026-02-23 21:45:39.708652,22.6,68.0,22.69
,,2026-02-23 21:45:41.777614,22.6,68.0,22.69
,,2026-02-23 21:45:43.854773,22.6,68.0,22.69
,,2026-02-23 21:45:45.910502,22.6,68.0,22.69
,,2026-02-23 21:45:47.975267,22.5,68.0,22.58
,,2026-02-23 21:45:50.041383,22.6,68.0,22.69
,,2026-02-23 21:45:52.111154,22.5,68.0,22.58
,,2026-02-23 21:45:54.177378,22.6,68.0,22.69
,,2026-02-23 21:45:56.241460,22.6,68.0,22.69
,,2026-02-23 21:45:58.307429,22.6,68.0,22.69
,,2026-02-23 21:46:00.387464,22.6,68.0,22.69
,,2026-02-23 21:46:02.458757,22.6,68.0,22.69
,,2026-02-23 21:46:04.526273,22.6,68.0,22.69
,,2026-02-23 21:46:06.602200,22.6,68.0,22.69
,,2026-02-23 21:46:08.667338,22.6,68.0,22.69
,,2026-02-23 21:46:10.732675,22.5,68.0,22.58
,,2026-02-23 21:46:12.804539,22.5,68.0,22.58
,,2026-02-23 21:46:14.966155,22.5,68.0,22.58
,,2026-02-23 21:46:17.031294,22.5,68.0,22.58
,,2026-02-23 21:46:19.117229,22.5,68.0,22.58
,,2026-02-23 21:46:21.196786,22.6,68.0,22.69
,,2026-02-23 21:46:23.278746,22.6,67.0,22.66
,,2026-02-23 21:46:25.368492,22.6,67.0,22.66
,,2026-02-23 21:46:26.444280,22.6,67.0,22.66
,,2026-02-23 21:46:28.512938,22.6,67.0,22.66
,,2026-02-23 21:46:30.589159,22.5,67.0,22.55
,,2026-02-23 21:46:32.665606,22.5,67.0,22.55
,,2026-02-23 21:46:34.735128,22.5,67.0,22.55
,,2026-02-23 21:46:36.813788,22.5,67.0,22.55
,,2026-02-23 21:46:38.891531,22.5,67.0,22.55
,,2026-02-23 21:46:40.967965,22.5,67.0,22.55
,,2026-02-23 21:46:43.047620,22.5,67.0,22.55
,,2026-02-23 21:46:45.125848,22.5,67.0,22.55
